Title,Author,Date,Stars(out_of_10),Review,Sentiment_Score,Polarity
Similar to Taken but with no strings attached. Expect a sequel if it does well $$ wise,acidnat,15 December 2014,7,rating it outta coz there are movies worse than the out of that came out and i have seen this year not a must watch at allbut entertaining almost always its like takenbut no family part of the storyinstead its random strangers the protagonist denzel knows better than the other people in the flick a better plot when thinking about sequels coz there might even be i only say its like taken coz its the action movie minus the usually accompanied humour denzel and liam arent bruce or arnie or the rock xd one thing that stands out is the hand to hand combat is almost real timeexcept the villain kill stands out quit noticeably otherwise slomo is used exclusively for explosions and crashes if youre bored on a drunk weekdayyou could watch this move skipping the initial mins and never think of a rerun but just be entertained,0.7605,1
"What a refreshing action film, one of its kind!",duanwei513,3 October 2014,9,saw the trailer few month back in the cinema got hooked instantly the movie did not disappoint at all and delivered more than what i expected this is not your typical hollywood action flick justice is pouring down like rain and it aint stopping the fight scenes in the file are refreshing and powerful the story lines is easy to follow and unique some special effects may be somewhat low quality but the action definitely makes it up for it two and half hour does not feel long at all with this film you will be hooked with the story before you even reaches the end of the film it deserves to be one of the best action file of the year,0.9603,1
The Vidiot Reviews...,capone666,4 January 2015,7,the equalizer if youre going to call yourself an equalizer you had better have some remarkably accurate measuring cups mind you its not a recipe the stranger in this action movie is trying to balance but the scales of justice after witnessing a pimp abuse his friend chloë grace moretz former cia operative bob mccall denzel washington murders the pimp and five others his actions alert the russian mob boss vladimir kulich running the prostitution and racketeering rings in the neighbourhood in turn he sends in exspetsnaz marton csokas to kill mccall but in order to do that the specialist must survive mccalls carefully orchestrated counterstrikes against him based on the tv show this take on the revengeforhire premise lacks character development and depth but it makes up for both in stylish violence and restrained bravado plus with the russians out of the way the asian gangs can now move in green light vidiotreviewsblogspotca,-0.8555,0
"Long, boring, strung out with a plot that we've seen done better 1,000 times before.",jordant-12858,7 June 2015,2,this movie was very painful to watch youll find yourself waiting ages for action sequences that are very predictable and bland half of this movie is spent on small talk and self reflection guess who the bad guys are you guessed it the russian mob other than enemies filled with borderline racist stereotypes youll find yet another cliché exassassin turned regular guy turned vigilante protagonist this movie will continually figuratively give you the middle finger by withholding information from the viewer to the point where the movie wont even show you action sequences this film takes beyond what seems like an eternity to even establish who the protagonist is or anything about his past another thing this movie lacks in is plot stability youll repeatedly find yourself asking who are these guys where is he what is he even trying to accomplish do not be afraid to get up to use the restroom or cook food without pausing the movie because you more than likely wont miss anything important because this movie lacks any important material even the soundtrack for the main action sequence is boring and repetitive it is almost literally im not making this up comprised of one single piano key being struck the sole reason i gave this movie stars instead of is because of denzel washingtons acting,-0.9396,0
Very Good Action Thriller,martinrey-15593,30 January 2021,7,this is a slightly more toned down version of the john wick series not quite as intense as wick but it has its moments of gore and action washington is great in the lead and the badie played by csokas is convincingly nasty well recommend action movie,0.9175,1
What do you see when you look at me?,briand6465,30 September 2014,8,saw the equalizer starring denzel washington tonight at regal cinemas washington plays robert mccall who in this actionpacked crime thriller film works at a home mart a home improvement store by day and by night must do all he can with his hidden black ops combat skills to defeat russian mafia members who abuse women steal money from local merchants traffic drugs and even have corrupt cops working for them mccall meets teri played by chloe grace moretz at a local diner in boston massachusetts where he frequents he comes to find out she is an escort who has endedup in a life she really doesnt want to be in he tries to convince teri that there is a better life for her while making it his duty to ensure the people responsible for abusing her and other women pay the ultimate price at the same time mccall is focused on doing right by the community he resides in by eliminating the bad guys as the equalizer mccall played by washington is targeted by the head russian mobster vladimir pushkin played by vladimir kulich when he finds out mccall is interfering with his operations and sends an enforcer teddy played marton csokas to boston to eliminate mccall after evading several assassination attempts mccall visits fellow retired operatives brian plummer played by bill pullman and susan plummer played by melissa leo in virginia who help him acquire intelligence on pushkins illegal activities mccall then captures frank masters played by david harbour a corrupt bostonian policeman who has been aiding teddy and forces him to help in his efforts to sabotage pushkins operations in boston denzel washington is at his greatest since training day in and this movie surely has its action along with some funny moments if you are looking for an actionpacked crime thriller this one is most definitely for you my cinema score is maverickradio,0.9348,1
Washington carries this film thanks to his particular set of skills,estebangonzalez10,17 October 2014,7,i am offering you a chance to do the right thing take it with the exception of training day which i absolutely loved antoine fuqua hadnt directed a film that merited much acknowledgement being able to team up with denzel washington once again definitely attracted many peoples attention towards this project but if they were expecting the equalizer to replicate the success of training day then theyll be disappointed because what they get with this film is a standard by the books action thriller it plays out like most revenge thrillers do and it follows the standard formula of the genre in such a way that you can easily predict the outcome of most of the film what the equalizer does have going for it however is the presence of denzel washington in the titular role playing a character with a particular set of skills washington is solid and he elevates this generic film in such a way that he manages to keep us entertained there is something cool about his character and he portrays that interior smoothness very well here his character may seem calm and friendly in the surface but when it comes to helping the weak there is no one who can serve them justice better than him his character will easily remind people of liam neeson in taken or even tom cruise in jack reacher although washingtons character is much more likable the film also takes its time to set things up and it works to the films advantage here i would even say the buildup is much stronger than the execution the stylized violence is also present in this fuqua film and i enjoyed the overall look of the film with the underlying score setting the tone the equalizer reminded me a lot of man on fire which was a film i really loved so if you were a fan of it as well you might want to check this out it is very similar in structure and i would go as far as saying that it has a superhero movie feel to it as well i have seen over films starring denzel washington and i yet havent seen one i disliked sure there were some average films he made but never have i been disappointed by his movies i know the equalizer isnt groundbreaking and i shouldnt have enjoyed it as much as i did because it is full of clichés but it was impossible for me to resist washingtons charm once again he gives a solid performance in this action thriller and he carries the film the female characters are all portrayed as victims here once again but chloe grace moretz sells her character very well she has some solid scenes with washington at the beginning of the film which help set the premise of the film melissa leo could have been the strongest female character in the film but she only has a brief appearance this is basically a one man show with washington personifying coolness marton csokas is set up as a pretty strong villain during the first half of the film but he could have been better used in the second half csokas is washingtons counterpart kind of like what the joker was to batman and the buildup to the faceoff is what works best in this film i had a great time with this action thriller despite all its flaws,0.9987,1
Chillingly good,Figgy66-915-598470,8 October 2014,9,october film of choice at the plaza dorchester tonight the equalizer believing he has found a quiet life in boston having put his military past behind him mccall denzel washington comes to the aid of a young girl he has befriended and suddenly finds himself taking on a large chunk of the russian mafia this film had quite a long slow start and i wondered where it was going for a while however as the pieces of the story came together you became aware of the complexities of mccalls character and the horrors he thought he had put behind him superbly acted by washington this character was a man of few words and he was chillingly inscrutable as he was facing down his foes if i had to complain about anything it was maybe to minutes too long but that is a minor gripe against what was a good film astonishingly powerful soundtrack right from the beginning would make good driving music turned up full on the open road,0.8074,1
"A bit slow and flawed, but OK.",forpassord,29 December 2021,6,not that much action in this action movie most of it is over in a few seconds except for towards the end of the movie but the movie is very slow for just as long in the beginning and much of the time in the middle seems to be there to pass some time in between the beginning and the end some thrilling sequences and some crime are in the movie so ok it has the claimed ingredients even if it could benefit from at least having more action at least one event with an electric drill that was rather unrealistic took place the usual misunderstanding about how electricity behaves in water was also found time for several episodes where people had guns close by but chose not to use them took place the worst case of them all took place at the last scene in the home mart alternative ways of doing things might look cool but they are not necessarily neither the smart or the effective way of doing things usually it is neither the movie was ok to watch even if i found it to be to slow for to much time so if you like action movies with more style than contents see this movie but if you have to have action from the beginning to the end find something else to watch,0.8593,1
Man on Fire pt 2?,bookandacover,27 September 2014,9,i loved this movie denzel conveys so much power in a few seconds of silence he cant be matched by most actors with ten minutes of dialog a worthy adaptationupdate of the series as we watch the retired operator put his unique skillset to use to help people i can see this turning into a franchise liam better look out one thing struck me hence the title of the review it very much felt like mccall could be john creasy redeemed and trying to lead a quiet life without spoilers lets just say the look and feel and one or two hints point you to the conclusion that just maaaaaaaybe washington and fuqua were looking for a way to get a mof vibe going with a new direction,0.9378,1
Death Wish X,thales-63045,3 July 2021,7,good shoot me up those old enough will remember charles bronsons death wish movies this is similar the genre has been done to death good enough for netflix or prime but not worth the entrance fee at a cinema,-0.4308,0
"If you liked The Book of Eli, then give The Equalizer a look.",DarkVulcan29,28 September 2014,9,this film is based on a tv show from the s from the same name which i never saw this was an entertaining action thriller dont get me wrong it was a little flawed but i still enjoyed it feels like a cross between man on fire taken and jack reacher robert mccalldenzel washington someone with a dark past tries to live a simply life in boston he has a job managing home mart he befriends a troubled teenagerchole grace moretz and discovers she is mixed in with some bad people he uses his deadly set of skills to help her out but only brings more bad people that will stop at nothing to bring him down will robert get them before they get him denzel was awesome here he was bad ass and ruthless but i also like the way he does not play the character has one noted chole grace moretz is also good the amount of minutes shes in it the actors playing the bad guys are great there cunning and menacing the movie has you on the edge of your seat believe me you wont be disappointed,0.9539,1
Great action movie but climax disappoint,gkkxxsfrg,15 October 2021,6,it was a great movie with action packed performance but i was really disappointed with the climax it looked like makers were in haste to finish it off early also there were many scenes which were left for our imagination like encounter of hero with store thief and in climax finishing off all the bodyguards of russian mafia overall a good watch,0.823,1
poor,sotojomal,30 January 2015,1,well i am a very harsh movie critic i knew what to expect from this movie and my expectations were met which is not a good thing i think denzel is a great actor but this role does not fit him in my opinion the movie does not have much of a story basically one man goes out and seeks revenge for a wrongdoing that he witnesses logic was clearly not applied in this movie the fact that he eliminates targets in a matter of seconds no one can apparently touch this man as well so no suspense is built in that sense also many of the characters are very dull not much emotion is evoked by them and the audience knows very little about them i think the biggest problem with this film and many other films that follow the same trajectory is that they are bent on the cliché that the protagonist must always be victorious but that mold should be broken towards the end of this film a nikolai which in my opinion the actor played this role very well was eliminated in such a fashion that made this movie a dud for me denzel and this individual were like chess players they knew each others moves why not end it in a more competitive fashion there are a multitude of issues i personally have with this movie others may not see it in the same fashion,-0.8909,0
Enjoyable if not particularly memorable,andyajoflaherty,19 July 2020,7,based off the old edward woodward tv series of the same name the film follows ex intelligence agent robert mccall as he decides to help a young girl he meets in a cafe after she is beaten to a pulp by her russian mob employers things spiral from there as he doles out justice to all those he meets who prey on the helpless this is a pretty good action film with a great bad guy satisfying and visceral action scenes and of course denzel plays the character well the plot is servicable but the dialogue and characterisation could have been better overall its a decent watch but its not a film i think ill ever feel the need to see again,0.9377,1
"When you're a vigilante, it's tough to stay retired, I guess.",Geff,30 September 2014,8,the equalizer stars denzel washington as a man who tries to leave his past behind by faking his own death but life catches up with him he witnesses a young beautiful girl brutalized and enslaved by ultraviolent russian gangsters and decides that he has to come out of retirement he uses his blackops skills to kill everyone in his path despite his promise to his now dead wife to be good when youre a vigilante its tough to stay retired i guess on a scale of to as an action movie its a he can kill faster than a vampire and he times himself to see how fast he is it is a fantasy vigilante film and he gets revenge in supersuperhuman style you must suspend disbelief to enjoy it fully good film of its genre the audience got into it and were cheering in good humor,-0.9441,0
Everyone wants to know.....,FlashCallahan,28 December 2014,7,robert mccall works at the home mart store frequently helping his coworkers make better of themselves every night mccall goes to a diner and he befriends teenager teri who is a lady of the night one night her pimp slavi brutally beats her and she is hospitalised mccall goes to the russian restaurant where slavi is and offers money for her freedom slavi does not accept the offer so mccall kills him and his four bodyguards russian kingpin vladimir sends enforcer teddy to find who killed his men soon he finds that mccall is the one who killed the mobster and teddy begins a war against him the first thing you notice is that this has absolutely nothing whatsoever to do with the eighties series of the same name now if you can forgive its shortcomings and cashing in on a well known name its a perfectly perfunctory action movie with one of hollywoods biggest stars at present and fuqua knows how to direct action sequences its just a blooming shame he doesnt know how to trim a movie because this is at least half an hour too long and feels a little bloated at times even though denzel is the only reason to watch this we could have done without all the zen type stuff he does in this and many other films he is in you know the calm soothing monologues about life and the past that seem to go on for ages and instead of drawing you toward the character more pulls you away from the narrative moretz is in it at the beginning to trigger his revenge switch and then pops up at the end to show him that all his equalising was worth it because she reads books and wears no more make up the action is relentless and pretty brutal and even though the first set piece reminded me of the slow motion bit in spiderman the final showdown in the hardware store harks back to the exploitative slasher movies of the eighties so all in all its nothing groundbreaking way too long and just a showcase for denzel but he does walk away from an explosion in slow motion thats always worth a watch,-0.5692,0
The ultimate action thriller,kmorris125,4 October 2014,9,denzel in a word is just brilliant and genuine in every scene he owns it this is just an all around edgy feel good thriller theres the bonus of a good guy having to do some very bad things in the name of justice hes trying to mind his own business and the cruel world just keeps reeling him in and forcing him to use the skill set that he would rather forget about i love a good action movie and this delivers i loved the character development and his relationships with the guy at work and the teenaged hooker loved it so much i may make it back to the movies again to see it will not discuss specific plot and story lines as that have been done repetitively here although the villain was great and kept my attention as well i loved the way he saunters around in his tailored suits and the mind bending exchanges that he and denzel have with one another,0.9831,1
"Overly unrealistic, just like ""John Wick"".",gilgongo1980,28 January 2020,6,as i said the story is too unrealistic for me a man against the entire russian mafia and he got away with only two small wounds this can only be a fantasy film the plot was actionpacked sometimes it was exciting but why do you need a simple man as superhuman i would like to see more reference to reality,0.6542,1
Equalizer,zenshemag,25 September 2014,10,superb movie however i could not understand the dialogue between the woman ciafbi secret service sitting on the porch with denzel visited from his past her dialogue was vaguely about giving him permission to resume his equalizer tasks just one more time or its okay to equalize since that portion of the promise was delivered to this deceased wife without wholeness anyway if someone could send me the dialogue between the two i would appreciate it very much i especially thought that the most critical scene occurred in the home depot location wherein robert ingeniously never used a gun to defeat his enemy additionally i applaud the security guard for his unselfish assistance in never leaving anyone behind even though he seemed to be mentally injured,0.7931,1
Brilliant,rhemie,21 July 2015,7,im honestly not much of a denzel washington fan still not however i havent enjoyed a film in a very long time as much as i did this one its got nothing to with denzel really well at least for me it doesnt but what truly made this film as outstanding as it was and utterly brilliant in every way possible was the way it was written the way the story unfolds the way it almost forces you to be neutral unless youre a denzel fan then youre obviously cheering him on from the moment the production studio logos appear but i cannot think of any other film help me if you know of any that so brilliantly makes two extremely opposite characters the protagonist and antagonist obviously or good guy and bad guy as we call them now appear so similar just to make them face off at the end in what usually is a sharp contrast of good versus evil and its really not a question of whos gonna win at the end because its obviously the good guy duh but the challenging part really is who do you root for we all love villains not that we root for them but we just love the characters but in this film you not only love the villain but you feel a strong urge to secretly root for him mainly because it takes a while for you to realise hes actually the bad guy so torn between two worlds youre literally forced to step out of the picture and eagerly watch the action unfold with bated breath to see what will happen next by the time the end credits roll youre still sitting motionless in your seat trying to take it all in the adrenaline in this film is extremely high even in some of the slower paced scenes watch with caution if you cannot handle that,0.9922,1
Brilliant action baddie gets what they deserve movie,howardhawker,24 March 2015,9,i was reminded of the edward woodward show and felt very diffident in case this was a take off well i need not have worried this is a well paced movie with a mysterious ordinary bloke played by the wonderful denzil washington who has extraordinary skills when it counts the film never pauses but is not runawayit maintains tension and whilst the denouement is never really in doubt ones arrival at it had me cheering wildly it was a miserable grey afternoon but this film made up for it in bucket loads highly recommended,0.9091,1
Too slow or Too less action?,mjhossin,12 March 2019,6,the beginning of this movie is too slow the story was not as i expected but it seems to me that this movie could have been finished early and i guess this is a action movie and mccall is a very strong and skillfull man as we can see in the movie but he kills the main villain of the movie without showing any skill as we see the villain called teddy is also a good skillfull fighter then at the end of the movie why there was no hand to hand fighting scene although i liked the last part where the lady came back and talk to mccall my opinion is that this movie could have been better,0.7343,1
appalling,StAdrian,22 October 2014,3,built entirely on clichés and relaying on questionable morality the movie is circular solving at the end the socalled problem that presented itself in the beginning the appalling evolution of the characters portrayed by the moral do what you feel like is surpassed only by their poor definition the script is trivial and contains elements never elucidated ie the role of starting and stopping when the character remembers the wrist watch when it comes to the camerawork i have to in all fairness say that its the best aspect of this movie i rated with however this is eclipsed by the editing and probably by the directors choice to film wide angles for example when he shouldnt have had,-0.2732,0
What do you see when you look at me?,ikizdevran-882-254684,4 August 2018,7,mark twain once said the two most important days in your life are the day you were born and the day you find out why the equalizer opens with this quote this quote reveals the purpose of the film and what to expect from it in the first minutes of the story we get an intense character depiction of robert bob mccall denzel washington this description is very important for the development and progression of the film robert is a perfectionist and overly organized he lives alone and works at a construction store he has insomnia and when he cant sleep he goes down to a diner where he drinks tea and reads in the beginning of the film he reads the old man and the sea from ernest hemingway if you know this book you can easily relate the old man to him his inner thoughts and dilemmas are similar to the old mans actually in the first minutes of the film director antoine fuqua tells you more or less everything you need to know about robert after this point nothing surprises you in the means of his life and actions during his visits to the diner he creates a special bond with a young russian hooker alina chloe grace moretz they mostly discuss about the book and its effects on the real life one night when alina is beaten up and sent to hospital he visits the russian mafia who are selling her and offer them to let her go they refuse the money and after a little talk he kills all the five men in the room brutally in seconds the film actually starts after this point this scene proofs that robert is not an ordinary man but a professional killer the equalizer is a one man show it is one man against the russian mafia this time an american hero saves a russian girl from the russians i normally hate this kind of stories where americans are the good guys and russians are the bad cold war is over and they keep making films like this however this one time i will pass on this fact because the story is much more complex than just the americans and russians also the main actor is one of my favorite actors of all time i know this approach is not professional but i am not a professional critic anyway as i said robert is a highly trained killer through the story we find out that he is a retired cia black ops operative he tries to live a quiet life but this kind of guys can never be left alone the more they try to stay away from trouble the more trouble finds them the equalizer is a story of a guy like that the story of the equalizer is like a chess game both sides are trying very hard to win they both think before they act and there is a constant attempt for anticipation of the opponents move this is the strongest point of the story the equalizer has the same idea as in john wick or taken series there is one man against everyone else the film is action packed and highly entertaining it is maybe a little brutal but this doesnt change the course of the film the soundtracks are equally beautiful the equalizer was loosely based on the tv series of the same name a couple of days ago the equalizer was released and tonight i am going to see it this was the main reason why i have seen the equalizer for the third time after tonight i am going to write also about the second film no matter how cheesy they can get i like stories like this people like robert are revengeful no matter how good and fair they are once you do something bad to them or to their loved ones they never hesitate to go until the end denzel washingtons performance is outstanding and it sets the limits for the film in films like the equalizer leading role performance is as important as the story itself because everything is based on this performance to be honest i dont recall a bad film from denzel washington i find a lot of similarities between him and morgan freeman washingtons performance is not the only outstanding performance in the film marton csokas as teddy rensennicolai itchenko puts an amazing performance as the villain of the film as well he plays a highly trained sociopath his performance makes an enormous difference when both the good and the bad guys performances are harmonized with a good story you get to see a film like the equalizer,0.9924,1
Same old but REALLY satisfying,MovieSonic,13 December 2014,8,i love denzel washington unfortunately i wasnt impressed with some of his latest films safe house was a joke and unstoppable was pretty horrific but nevertheless they are always entertaining i loved guns and i was really looking forward to this one the equalizer its definitely one of the better action films released in recent years some bad stuff i really dont think chloë grace moretz was suited for this role also her relationship with denzel was fake as hell a lot of the film all of it was highly manipulative denzel is everybodys saviour sad music at all the right moments and therere a lot of them waaay over the top slow motion usage etc the bad guy was super cheesy although i do like the actor in other films good stuff the action the kill scenes are epic and although denzel doesnt really pull off action scenes it doesnt matter because they are filmed superbly frankly this was more of a torturegore film than an action film once it got going overall this was typical hollywood crp but done really well and a must watch for actiongore fans,-0.2135,0
Revenge Is A Dish Best Served Denzel,statuskuo,20 December 2014,7,no one and i mean no one does revenge like denzel washington and when hes a man on fire you get giddy with expectation on his killing sprees especially if theyre cartoonish bad guys a video game come alive this movie is fun i grew up with the original tv seriesand the update is nice it is stripped of pure camp and gone the way of most denzel movies hes the best of the best with a dark past if you havent gotten enough of this watch this flick its a lot of the same but still worthwhile time waster antoine fuqua again proves he has a very sympathetic ear to the streets meaning he likes the percentage of people who are always getting screwed in life i like that i like that theme and i like there is someone who doesnt wear a cape or have superpowers that have been bestowed on them due to gamma rays or whatever its just a man who was upset nothing wrong in that if you spend too much time on the logic then screw youthis movie isnt your cup of tea go watch some british bbc spy movie that gives you every dull detail of its inception this is good ol fashion american buttwhipping fun,0.973,1
Active Movie,frosty-44431,9 February 2021,6,i liked this more than i though i would it kept me entertained,0.6705,1
Hollywood Version of Mentoring,clacura,20 February 2018,8,take the action portion out from this movie and we see an older man who gains a sense of purpose defending and mentoring the young if just for this message this movie is worth viewing there is a dignity denzels character gives to life whatever his true inner purpose he is taking action to help those in need yes it is the hollywood version of a human with superhero skills i guess it is simply too much to make a movie of just a normal guy or gal who gives to others the subtext here is importantwe need mentors especially those who can defend the weak innocent and vulnerable it gives hope and restores dignity from those who rob it,0.9325,1
Allowing Instagram to Decide What I Watch While in Isolation Day 5:,Nathan_Needs_A_Username,28 March 2020,6,just one in a long line of old man gets revenge movies honestly the equalizer offers slightly more than most films in its oddly specific genre with a great lead performance from denzel washington and a competent director behind the camera training days antoine fuqua if you tend to like gritty dramas with bursts of graphic violence then this is truly better than most of the competition but if thats not your thing then you probably wont be won over by this,0.0266,1
A very good movie spoilt by a little too much violence,averyprivategentleman,12 July 2015,10,when i first wrote a piece about this movie i got panned by the readers for my opinions and the post was removedbeing a fan of the original tv series with ed woodward it was a bit of shock for me with the casting now excuse the pun but casting aside the casting i would like to have seen mccall played as the chap with the jaguar and the posh suits but this was not to be washington could have done a better job if production had given him the car and the outfitsbut hey maybe he gets promoted with a pay rise in the sequel one thing for sure i will never take the mickey out of someone working in bq again anyway back to the film great movie i have to admit they done a fantastic job here i bought the dvd and have watched it about times already the quotes are great if you feel bullied in life then this is film to eradicate all those doubts i could not deal with the violence there was too much of it teddy breaking the girls neck mccall drilling the gunmans head the corkscrew attack in the hit on slavi where all a bit ott for me but having said that this is a great vigilante movie i hope there is a sequel and the story continues washington does a fine job in playing mccall but to all the critics who panned me about casting in the last posting debacle how would it go if jude law was to be cast in a remake of in the heat of the night either way apart from a little over excessive violence this is a great message movie and the whole team done a great job well done,0.9894,1
Out of storyline,tlhalford,9 October 2014,7,i saw this on sunday at showcase cinemas i enjoyed parts of the film but to be honest a lot of the film could have been cut out robert has turned into a killer to try and get teri her freedom but she disappears for almost half of the film while she is gone robert kills the whole off teddys gang however teddy doesnt feel the need to kill robert and they can even sit across a dinner table from each other and talk like nothing has happened at first you think the bad guy is slavi as he is the man mentioned most by teri but thats the twist when he kills him very early on in the film we realise there is someone bigger than him denzel washington can be the perfect actor for any film but i dont think this film was his best compared to flight which i loved a walk among the tombstones was released around about the same time as the equalizer and there was no need to as they are pretty much the same they both have gory scenes with a lot of blood and they are both after person or gang all action films have the same predictable story its the actors that make the film great including martin csokas calm but deadly character and an innocent chloe grace moretz there are a few comical lines that made me laugh and the audience also found them amusing and there are parts that could make you feel faint my favourite part was the ending when robert finishes his mission in slow motion in a rainy warehouse with the soundtrack blaring in the credits eminem guts over fear ft sia i did prefer liam neesons a walk among tombstones as it was a more believable story to follow i would recommend this film to action film lovers but what i will say is not to expect anything too special overall i rate the film as i enjoyed the action packed parts but believe it went of the story line slightly,0.9911,1
"Semi-stylish, weak script, good acting.",jake-lamotta-batman,15 December 2014,5,the biggest issue with the equalizer has to be that it is an adaptation of an old tv show the script is full of the basic cliché which have been seen in numerous action films from the protagonist showing a character a picture and the facial expression gives it away that they know the character in a bad way of course or the let me tell you a story where the protagonist sits the antagonist down to tell him about someone the protagonist getting beaten down struggling in the final fight against the big henchman the reason why this film isnt ruined completely is the very well done performances by denzel washington and marton csokas antoine fuqua is a very poor mans david fincher at least in terms of this film this is one of his best film since training day but it is nothing special especially during a year like this which is filled with great films and performances its certainly tolerable as an action film with this film a lack of humour didnt hurt it too much whereas i found olympus has fallen suffered tremendously from its lack of humour i also find mr fuquas use of cgi a bit alarming in regards to how it looks ive noticed this in a few of his films where the cgi just looks bad and really sticks out the ending is immensely weak and although chloe grace moretz does a good job with what little shes given it really feels cheap the way they bring her in right at the end after being absent for so long showing denzel emailing her would have made more sense and wouldnt have looked as forced this shouldnt be a spoiler but if it is youll probably love this movie the finale occurs in the home hardware place where denzels character works now i didnt like the department store fight of mr mrs smith this one is a little bit better but not much i personally found it underwhelming as the first trailer i saw i figured you know what would be convenient for the screenwriters if they end up having a big shootout in the end inside that store these screenwriters obviously work in conveniences and fuqua would have a decent style if david fincher didnt exist id say this film is almost like fuqua mimicking fincher however all of david finchers films are comparatively better outside of alien,0.9506,1
A nice movie overshadowed by competition,destroyerwod,25 December 2014,7,honestly i had fun watching this there is probably plot holes and impossible stuff but who care its made to be an action type of movie yet that is the small problem i found in it its an action movie but the pacing is very slow there is a few action scenes here and there but way too few of them and sometimes even off screen on the other hand the story is nice denzel play his part very good chloe do the job even tough the role is small but maybe its because i saw john wick before i couldnt help myself but to compare the and its obvious when you do you realize one is an action fest on testosterone the other a nice movie but that do lack something the premise is not the same but similar the bad guys are both russian mobs in both case the protagonist is a guy with super skills and if i got to pick one yes john wick was much superior for me but that does not mean equalizer is not a good movie like i said i had a good time the movie is over hours long yet i was not bored despite it being slow paced the character is interesting the main bad guy acting and presence is nice although i had higher hopes for him and basically its what it is just a good action movie,0.9932,1
Antoine Fuqua and Denzel are a powerhouse,johnmorrisfamily,12 March 2024,9,this movie is brilliant the only reason i dont give it a is because that is reserved for the godfather and one flew over the cuckoos nest however in the action genre this is absolutely one of the best the cinematography is fantastic the lighting camera angles and film noir scenes give it a gritty realistic look the casting for the villains are terrific they are guys you really hate unredeemable men yet denzels character still gives them the chance to do the right thing denzel is a brilliant actor his look says it all without any dialogue i loved this movie and was on the edge of my seat until the very end should have one an academy award for best picture,0.949,1
A solid OGWAG movie (One Guy With a Gun),tcs-79395,8 February 2021,7,pretty much a standard ogwag movie like his earlier man on fire jet lis kiss of the dragon or liam neesons taken its a genre that always is fun to watch and his cold blooded mysteriouspast having jaded dead man walking vibe is pretty much what you expect not a fantastic film but solid if youre an ogwag genre buff id give it a but ill round up just because a is slightly too low,-0.4844,0
Can't a man find a little peace?,michaelRokeefe,13 January 2016,8,this actionthriller is actually based on an old s tv series but remember this is the big screendo it big or dont try it at all denzel washington plays robert mccall a former intelligence operative looking forward to retirement he does return to working but it is mundane and fits his newly scheduled lifestyle he has tea and reads a book every morning in a local dinner about he notices an attractive young girl terichloe grace moretz and is a bit concerned about her obvious life choice of hooking when she is brutalized the natural thing is to come to her rescue doing so mccall ends up going against a russian mafias prostitution business and major crime ring fury is unleashed other players david harbour vladamir kulch melissa leo haley bennett david meunier bill pullman and johnny skourts,0.7579,1
"Super bloody, but still enjoyable",joshuadrake-39480,27 April 2015,7,the equalizer is a movie that i wanted to see because it was a movie that i wanted see because denzel washington was playing him and the director of training day antoine fuqua was directing it and the film was based on the s television series of the same name the film follows robert mccall and he is a retired black ops government operative who lives in boston massachusetts and works at a home mart hardware store where he befriends many of his coworkers and also tries to help a security guard trainee ralphie pass his qualification exam he has promised his deceased wife that he would leave his old life behind but is compelled to act after his teenage friend teri whose real name is alina was seen being mistreated by her pimp slavi and this leads into him seeking on the russian mafia he then identifies himself as the equalizer the film is a dream come true for me when this came out my mom got this movie for me on bootleg along with guardians of the galaxy while my sister daquantria got me captain america the winter soldier and i liked both of those but i also really like this film and it was so damn good the plot is really amazing and it does not take me that many times for me to understand and the script writer of this film richard wenk did a really great job and it was spectacular and amazing to see and hear the dialogue was really amazing and so damn spectacular the one major thing that bothers me and this is the reason why this movie appears on my top overrated movies list on imdb on my profile is because some of the action scenes can get a lot bloody and violent in a few areas i dont mind blood at all but its just that they use way too much blood in some of the action sequences in the equalizer the performances in this film as phenomenal in this film academy award winner denzel washington is known for his superbad villain role in the film training day which he won the oscar for best actor for his portrayal and that film is just beautiful and amazing and it is really cool to see him as a good guy fighting against the russians once again after what the russians did to him at the end of training day chloe grace moretz plays arina teri and she does a great job after i watched her in carrie and in dark shadows and she does two hell of a performances in those films and shes really nice here melissa leo despite my mixed feelings towards her in prisoners i like her in this film her performance is incredible bill pullman is in this film and does a really great job martin csokas plays teddy and he does a great job too despite the amount of screen time that he has in the film he does really great the production values are amazing especially the music and action sequences but like i said the action sequences are way too bloody gory and violent and i think it does not hurt my viewing experience this is an rrated film so if you did not like blood and violence dont watch it for all you sensitive kids but for all you people who likes blood and violence in action movies or scary movies or sciencefiction or zombie movies the equalizer is definitely worth a watch i give this movie a out of stars and the film is just really amazing and i have no problem watching this again and again the film is just really amazing and denzel washingtons performance is the best of his long time career and i encourage you to watch the film you might get something out of it,0.999,1
